sa-hash,a-hash,artist,song,count
69323c836fd69750a3192b6b7ea212aac66f7759068ec5b03ea7e5a7bb7cfab7,b1eee99a3a8173bfb56676049d6754c7d34abbd9722641eb913faff2639eec57,"Herman's Hermits","No milk today",7
c1aa88c3f818e9aadcebd3595327a85a1fc3eb1d8f08f3b13472862e65f78632,95dbe4478427f4721e14ed15de06bc4df50e0c95008947ce8d479dc1f74a3810,"Tomas Ledin","En vind av längtan",6
446c9e5578ce6642236775191d1199e3be326986acf73b4d10138097c505730a,20e2982509561857bbe705245414b5cbe0477bdc7d3032fc1f9c24a61c42dfca,"Danny Saucedo","Todo el mundo  (Dancing in the streets)",24
e7e81be90dcc5bb5c9d4a15886b8195f9bfa2f8fa609d96c6c6a48bfd40e2306,9b4dc04aa4500e8e8082bbde7e698cda55f5e6a6a065729c82496dd91b202205,"Eight Club","Mörka shades igen",6
bf1689c8fc92ff8b21c90e03d0b47ed5c75e7c7f4acd5772b9c2666ab89700d1,6642b6469ddb471b97f504ed960e00634267f93f11f1e7a3922c222a3cf4f0d1,"Lady Antebellum",Downtown,17
23f3ac2021dc09cdcde7020a3a1f614c9f6ceff3b0d9edfc9ebcd79894734dc9,55585b0f6a54ad9d50545b3a40e29578305b2c70d0d6b5289fc03c77205835ba,Nilsson,"Everybody's talkin'",18
7073c8140f4d4e83ff2002a204ea813eb7be655aaf5875ddfdb88136340e3a64,3aa738e84f0d63c2ba124641fe192b9f39cdd95423a8ab9470f752635f2bfe3c,"Sixpence None The Richer","Kiss me",24
e938c95696cb0a88f4317ad2d5372d81550e9ad7239259005aa1d36918f198c4,fa2a70d0ad83c80d75303516e8dbae9a56878fab3ed328214a355ded9eff4605,"Caro Emerald","That man",16
91ac3ca86b76f49bbbcf97db2db7bca72238842518e4b0c71a4380350d79bb77,c960563f683a14202dc212ae6554753a03c6cd6ab9df8c27ebd818ba848ab9ef,Fun,"All alone",9
3a1edb56d36d0a97a0f461e35e1deecca66b1516dd8c4475ab7aee83af9eb36e,ae20a729b6f3fcdfb18802763b0ae8e76bd5dfa7681d4bfe006f51863d3b8c53,"Gyllene Tider","Jag borde förstås vetat bättre",9
828c94f04a255d43a95b72beee527050403420052d2c683a27fa01f7b6fed336,0b487f2f0ce8f9999f7f2ca8fd2e416acf6dea5b4fe921f7d298631752432833,"Eric Amarillo",Sambofet,23
6a7d625d98a5d21f7d58e511428c304a93840b2f0d1b2172117950782e643d2d,199e3918a2a0cdc793232299a9e8ed81d7918381fcf0bf4e89e06faf0a45766f,Madonna,"Papa don't preach",16
de2180ecc25e773439c4789e326082a2c75b9c062911619357ec56e683450840,e191c32cfbc022ce176a0f530a491c7b5e823581c7f17d44afdabc9977cc686b,"Maroon 5 & Christina Aguilera","Moves like Jagger",33
4c56b88f90c3c48fa24b998c8ea50f695f4bbb62e965d93b7cd14365a86df2f1,6d5e3d349c788b78a31642658f83ffb0e76298c21b992f2296ed79e12ef5032a,"Billy Idol","Dancing with myself",14
5fe398b62701711f943c4411336f8e95c52c2a556d07637b73939e644126c28b,721772f1a782f03572ce6b665687368f3bd2fae08e2201478b906b6eb337ea45,"Jessica Einarsson","Ner till havet",19
50941e5cf46f4e4d412d8d686988b0b241a275c5834813160492327400b92549,fd395a64fac2181fafd6a3346ba7f7616a9dfd3ace3b78c3f8aeb4945a3a17e5,"Phil Collins","Strangers like me",22
3c6625175dfafe75bcf02a55f87037a972432e0f6c73bf19932f51e47cd4bbaf,052947b3aff00d94eb6d45788c93948ade1b61225f8c2ec252050059b2014569,Nightwish,Nemo,17
418f1610bb7063a95f6ede16bab06ff979dbd8bf624db80f47838f4cb9bea041,e9367105099b68cd7af58eb53bf6e33f27fd16dce83b21f44b048cddf773b6a2,"Daft Punk & Pharrell Williams","Get lucky",44
57df6259e5ca27d4f5a1303ad3565d8f7e05ab40d7f15a12b84a4e7e8fb3e52d,973bdac494871396ad88ff9454e071a6e609555146f8b67db1e427a435d801c2,"Louise Hoffsten","Only the dead fish follow the stream",11
