a-hash,artist,related-all,r1,r2,r3,r4,r5
973bdac494871396ad88ff9454e071a6e609555146f8b67db1e427a435d801c2,"Louise Hoffsten",
703cf6187598a5ce225e96a8fce301d8cee9aa77d0c8e488c27ed255ce68869f,Rockpile,
39d3a2e969b3dec11478d65ecb96ee6066ebd98920c816df9de7d131d9c67d0c,Martin,
f58e9a12011ec07e336a2baefc572486542fec8c8b7163daa6c6d0d0d61fa731,Emilia,
539f6b902a0f21768b314c41d3c407b279454dcbce78272c7f065b8a4b077ea9,"Magnus Uggla",
49f1ea1d26322fa6f84f9f11ddd7a8790672981299ce41a31a3661defedf06d7,"Fleetwood Mac",
33aaa49bffc1da6dce8967b8e6786c8c91b47c6b05e302dfba8e8304ac79ac38,"Stephen Stills",
8f7587b25d6538d9f0f62104024ad46bd42a268594a7bdaac840eef04b7fb27e,"Suzzies Orkester",
c862b85b311cc7a3489fa07b305e9226df3ca1f2ca4546cbfe33de06f8bb3c22,Loreen,
cd167e3b19f4ad83c3ef2c323c55df025c648a407db273f1f9ad113df7b8519e,"Shania Twain",
65ec53f302c861b16d31d88184faa6a18e6bf105fabb3377df65222c98c3aa13,"Fredrik Furu",
ee40bb538b9369699a2fd2b8294689e637f888fceae8b64185e3f9317285a6c1,"Paul Simon",
ee7d0d1d8c31f7f5949d099e071fe1c53baac4a3222089cf83f289d1a652037d,"Pet Shop Boys",
3ebe03e7d60ff3483d0db8d5e63763ec48f2fbb4637e721c4365567f841e4cbb,"Petra Marklund",
4c2f2ce7973e9efbd1468d0c3306193dcab17408029d3a29d295cbbccc1123ad,"Brad Paisley",
a7fee5f047f3dd4c9c368c96dc565f5a7001d259d5855f2c9e17165f6d0adc29,"Tina Turner & Rod Stewart","Tina Turner;Rod Stewart","Tina Turner","Rod Stewart"
9fb4c0ae8fda472506b7bb8fbfe297300a8e38544d254b42cfe8c9d7e9fd1abb,"Status Quo",
bf073ba94f3bf597cbe57babb104866bbd29fd7f2a9721882c90f5c9cfb4994f,"James Arthur",
735bf4ffb438419f79ebfd3a7040db8a196c6b1381e8ad5279b16d33a0122f4d,"Mariah Carey & Miguel","Mariah Carey;Miguel","Mariah Carey",Miguel
731129272e0c600ee76584562de8962c87ec91979d0fac11525df42c6fd510d0,K.d.lang,
2210619848c218c5e441e6b1aeebbea2cecd2de71cb45228a3b9a337a291f433,"Jennifer Lopez",
e81090dbc996f3b2bc64efb2ce768c7eb30e96d9d9f801a0c381abfb92ae3455,"Eva Dahlgren",
9ab5e1a4856824841eb86f649be100ce6854b9066abcdbe2374639afab063295,"Peter Lemarc",
f0dd1d97e8328693fc332a6477757cf2b03c70c16f85edc9b34d74221ecaf809,Zombies,
b15a7aa9c754e6f62087c5433549d702bc13de2ea02843286cb69b43e318ff0a,"Prince & The Revolution","Prince;The Revolution",Prince,"The Revolution"
5628964cc89a432a75c6ba09caa6c193cf9ddf7d481db5093917f58fe78b0328,"Matt Hires",
683aa415558e013acf68c68e9f4de3fa6bc7c9148d764fa067e9e925d7cac6b4,"Thomas Järvheden",
10c2d630409d5a4b8132f21478f40a030b8aefb29ab1a541da6d884a0286a6dc,Adele,
ff0ef10691053e0c5c83c9d7e683c87dc66a361b9e1cc1b5601633c2cfae0151,Anastacia,
d96d14f5564eeb355178395b04cdb970c3dc8d01f54d1b7adf0288820457899c,Kent,
b06c9c86ab9e1356c6294e2f03a6ebadbb843ec55b20110ddfdee2a5176a8593,"The Script",
a71a26dd1920e1601afa63157fdd2e2bfbd63676e91f757731c7da5c9de4d7cd,"Annie Lennox",
c2ce09cb217d8d65cc7085546021ff3468401b68b634e963323f2bdfe030bc8e,"Taylor Swift",
09dc8bf61e74f574de9065258d60b3afef42a07d606a1d5fe6d3fd5333ba65ba,"Lars Winnerbäck & Miss Li","Lars Winnerbäck;Miss Li","Lars Winnerbäck","Miss Li"
990a1734b12975785751021a095756fee63abee6c63eadd4d6dc9359d5d3797b,"Kid Creole & The Coconuts","Kid Creole;The Coconuts","Kid Creole","The Coconuts"
d14c259f9aee09ffaf071d6a1580c315f5486a47a13a722ddd184de88ea57316,"Bryan Adams",
95fb1e05dbabd20a4ea5440cdc0ea6d46cbbd26dcf54da9782f4240c68712b02,Him,
2b6f10a47f04efd32c0d1044a8a18c8e08f3776f3138996ff18f76ed27a8d99a,"Ulf Lundell",
45ede17459b957ff959c84a5cb75f335b7c68a37a313c02032a5c979cbee2de0,"Jenny Öhlund & Tommy Nilsson","Jenny Öhlund;Tommy Nilsson","Jenny Öhlund","Tommy Nilsson"
116692fe957cc37cd58f43d77771b3ad4f4ffe4d461c0e169baad47ea7fbd3c2,"Bruce Springsteen",
30638ec9aa1a14c75cb0236dca2ec6d4da3829029d199e281f358dec94dd57c4,"Icons Of Elegance",
2df44bef2f85de6eea2687503f80edb554aac1a9e44110c9873b093173dc5411,"Linnea Henriksson",
18576b2da4fc919c721c66d24352845c0b4b1813c79cbc1cc5e2eaa23fd24f67,"Michael Buble",
de88c82ccd3467b46946b7c7e63d58316c3ecc53358f6cd4405c5201514ebff5,"Emmylou Harris & Rodney Crowell","Emmylou Harris;Rodney Crowell","Emmylou Harris","Rodney Crowell"
bb6806447bcfefe974aad99140dd096446828b51e1514b1e0f5050bb2a9fd625,"Tom Petty",
61b734a0f6adbfe91b4aba950ec2f3d1b9530b4b6278ca13091d17568102b234,"Patrik Isaksson",
21f66212ba784d3b86fb280434327dd4ee4e3d9b4842b49a0afe2be3fc3cf72b,"Paul Oxley",
f520f7602e2834819c9b07545527fd6e7b507a1debf6aa164ef365fbd4ddfb7e,"Steel Pulse",
3fcd320b0f8a5307f08485fcc1709d267dc0b7d16523d370b11f78dc8d252b52,"Emmelie De Forest",
0c4f071433b2aeb854776139e02753074490b40a35be48d3310d413d1c4f5aa0,"Staffan Hellstrand",
e99c90db87c0e400832edcedcc1b14e33cff7559988f4d7032337e17401b2945,Train,
