s-hash,artist,song,count
a64f5c420226962b866a64d59cf4c8cacde3d9da46e5f8cb15d259ad6560a91e,"Taylor Swift","Love story",61
d1448a6e49245aa2598a3ab6d47fed928088b8a3345744af318e96966e0fa281,"Major Lazer & Busy Signal & The Flexican & Fs Green","Watch out for this (Bumaye)",161
68490ac79dbc44d92e160e11e227a8edd5dfbb17a9cf5b774cd0f017183bedb4,"James Blunt","You're beautiful",43
9dd82ff77a67f8587acb1d3c2dfe330b5e1469d25f19397cd749f232d2baa217,"Snoop Lion & Drake & Cori B.","No guns allowed",57
98be1be4b0f256dfd8b14fe936e549f536a00df2fe377537bd2c2193bc3bcfcc,"Daft Punk","One more time",26
83ef03cfdf6a8ee48c81c6e22b804c83d2dd4b79a5caf3c570ea73089e014204,Paramore,"Still into you",147
5d0d0133ffe9539025fe8339c1f4dd55657f811713eb5e55961fc67ff3e50f6b,"Robin Thicke & T.i. & Pharrell","Blurred lines",312
abbbb30fac699625d4ca328323170f08a62ad0399e5b692317e07d2e38f22889,Mew,"Am I wry? No",34
9a885a32f4851565d9bf029c2d042f9c1a25819be363c4b1694c224d88f53c96,Loreen,"We Got The Power",54
bf269f5308c50ffa47a793fc7d8128d16f2f226a20c6098b8bed4a391375b432,Promoe,"These walls don't lie",33
2dc2ecf1b3de2fcd436d044e35710298507f1035c26a3bc0fa8bb006bc28eb6b,Muse,"Panic station",48
61c3628e83ab65c6352d1d8a2e42ecd4cf211ede1e9923a14912a96c1f392d53,Akon,"Right now (na na na)",45
d9a83f4cc27476b0fa9450fe4f4540b818e1dbe8abdb6c3aac1994135b0b55cc,"Kings Of Leon","Sex on fire",113
c44dad2de801de7c434cb8b5218bfb8b4fd07b16307a4acafe711bab1bccd4e0,Fugees,"Ready or not",11
a033f3d9f0c6d25b32e3e8b3a18f95f46d52409f326b25099942050ff77aa906,"Emmelie De Forest","Only Teardrops",50
39523ca4f5708f5391e6f5468efa504bc6a4571bc4fce268186540ff8a589fa4,"Arctic Monkeys","When the sun goes down",45
5b39be93dbbe41396118b0527346db0699578c3018384278b7cb0920a0ef45b2,"Sturm Und Drang",Hysteria,210
69a1bd0c8a752c1531d4691daf5b6a73626f7b2e042853f84c97174339c4a04a,"Veronica Maggio",Måndagsbarn,23
3467a3ed94be72bb65954044c828f3e1e0a10a9e3161739ee8e31ad28df13e8c,"Hardcore Superstar","Above the law (Don't care at all)",95
9ca962b5229bdd99d7871b74790d35d05430ac090da50bd1b3fd796ce317068e,"Paloma Faith","Do you want the truth or something beautiful?",30
3b3ef8ca690f528553f953d557acb5826401a91d7b7e689c0009ba9d857053ed,"Will.i.am & Eva Simons","This is love",117
562063e6ffdf8aad090077ef6f05185c24d62ec35d78bebec07dfffe3042c319,"Kim Cesarion",Undressed,183
9d5324701a750f0833e76942d1eb0b13ed617fedc434423641a2abb2e2a0b551,"Eminem & Rihanna","Love the way you lie",40
a7f6b725ee3c4f15dacdaa1b2a0a7a24e588a83b31e176d7f840e7ac17931b05,"Isac Elliot","New Way Home",156
