sa-hash,a-hash,artist,song,count
3ec788b747db4a78d8a394c153956fba14100e67ae41d87491803cc9acea63fa,55fd0d7ef7c7df2c0c9fb2d236d4ceedc6f0ee42f1967e9f51e26633bd883c57,"Dani M & Jacco",Naiv,60
4069710235b5f42169ea8ef31bb0ebbf638f35fa038c6db38188018428f75621,2a15c4c58fbf3484cad4d32a22acc20c7326887da38bfd55c2c5bb462f696e18,"Marina & The Diamonds","How to be a heartbreaker",88
3f36e3870c8b71050897643e5e87676bf22ba27270303dcf2d49af21f474cdc4,48e8e8f494b873e9334a192f75ba61d28f0aed1645948b30d85e7748d33eac3c,"Satin Circus",Emma,243
569785f520dc5706c5ea90eab5d857ec5ef4430240830ff15d98547294105f75,6624dcd4c57fcb8e1e3465f7319237bcfc80490afdc3305a4a564fc963feb552,"Scouting For Girls","Elvis ain't dead",30
94c4617e377454fe5353d76a3bdb3459258927da245b3df8879912ea9e84c036,89ad169375225460142d035871797ffec9f286d430507bf119c6aace4654a7fa,"Krista Siegfrids",Amen!,107
eca04050828e2bf0fbcf58ab8ef5e2d94ff956cd58a945dbc871933b233c40f6,6811e03025765fb0365196d790ea624901cb340ef900909f99aefb651d45ea0c,Rammstein,Pussy,19
9cad518b0938a23031909e9c76e78d58ebbb3dde5dc9fa8751f65c95b04b7fb5,6c7047176f1c342266ca802c66c511f6ec5db97d0f303885a086a58bc4e3f9fc,"Zara Larsson",Uncover,103
aff9de42ac72ddb4916a5ad29dc1e7e9777a64e1b40014d846b67cd1e3b7d154,64a06e1304dd4e68bb50575f2fad52c65a725d0540895d0baccfd252b7bc4257,"Salem Al Fakir","Keep on walking",132
b9da98d580871df7d96589a7b7788a16b5544d314860a5fe4550ab0ab258f8d6,d920fb2712dc29b32b5091c28cbb82e2406c61b4eed64b9762fd79bb4a0473ef,Clarissa,"The Coolest girl",47
11355246c4900f9bbf16822b01410439ec8c6ef5c07e487ccc9f5b495281bcb7,2d9d26942845e4455418a677765a083f0d986894a59a3f669f06a9ef1a93d5e6,Volbeat,"Maybellene I hofteholder",70
336ee9e19ac436f3b40a7db8ce2546e5b8a532fdae974c73199630758636e411,10eafd566d38f9a768cb681dc261fe45cb98bcea0dc706fa1ed2316591736e43,Stooshe,"Black heart",100
1b7411781ed04562b7b55ea8887f28048833738642170aeac17b8c0fe83fb056,6eec0a85493f5c8a6e2899b63a6c3010ff8cc406f92e3a6c3b3ef6c0b04175db,"Justin Timberlake",Mirrors,116
9df26b46372e3d61061ee9878ac9f82c035cf91101a3fc34d22e50c4c0592d13,15b751fb52687e49a175e9d9bb50e3f7ce83403bb70633f575da4ccb0ba60b94,"Biffy Clyro",Biblical,78
199f1fd83a7fdb0ecdeb05259b7b951f36fe369ee7697cea9716e2f7d18e9c31,f5737a5dbd1cd72621ba85d989aa14536b92e4966de2b660f315aa0707d8487b,"Little Jackie","The World should revolve around me",16
3aac3d214c1abe3ad1fa71bbc3d30529ba99173b86eb0a5065f6c708e6013961,afcf59450ab53d475f92a3eaf3178e76a0707ad1b958a5ebecf4c779cceb19a1,Psy,Gentleman,104
2b8529f3278df1d78a14905891fa2ac9dd7cf25378d25a828c4ccfbc16156ec3,68779b6c114acdc80b6cd3a5f636f3292495413ac984eb14c2256c57bbf1e961,"Billy Talent","Red flag",99
